剧名,豆瓣ID,豆瓣评分,豆瓣评价数,豆瓣标签1,豆瓣标签2,豆瓣标签3,播出时间,5分评价,4分评价,3分评价,2分评价,1分评价,导演最佳评分,导演最近评分,编剧1最佳评分,编剧1最近评分,编剧2最佳评分,编剧2最近评分,演员1最佳评分,演员1最近评分,演员2最佳评分,演员2最近评分,演员3最佳评分,演员3最近评分,演员4最佳评分,演员4最近评分,演员5最佳评分,演员5最近评分
我们的爱,26648963,3.536,4454,剧情,爱情,家庭,2017-08-10(中国大陆),3.40%,2.70%,13.80%,27.50%,52.60%,4.033333333,4.033333333,,,,,8.5,4.32,8.8,5.46,8.14,5.25,,,,
我女朋友的男朋友,26873744,7.098,2784,喜剧,爱情,奇幻,2017-05-25(中国大陆),19.20%,38.50%,27.40%,7.90%,6.90%,7.74,7.025,,,,,7.1,7.1,7.74,6.92,6.76,7.35,7.425,7.35,7.82,7.1
我的1997,27002023,5.094,1705,剧情,,,2017-06-22(中国大陆),12.30%,9.90%,28.00%,19.80%,30.00%,6.26,6.2,,,,,7.72,6.266666667,8.7,5.775,8.06,6.5,8.28,6.65,8.28,4.25
我的前半生,26358696,6.258,85545,剧情,家庭,,2017-07-04(中国大陆),11.10%,26.50%,37.30%,14.40%,10.70%,7.78,6.36,5.38,5.3,6.42,6.3,8.8,5.46,8.38,7.333333333,8.1,5.866666667,8.18,6.84,8.76,5.55
拜托！别黑我！,#N/A,6.822,530,喜剧,,,2017-02-08(中国大陆),23.10%,21.80%,34.60%,14.10%,6.40%,,,,,,,,,,,,,,,,
择天记,26614082,4.24,60464,剧情,奇幻,古装,2017-04-17(中国大陆),9.40%,6.80%,17.40%,19.20%,47.20%,7.5,5.58,6.78,5.425,,,,,,,,,,,,
无心法师2,26608206,6.358,17001,悬疑,奇幻,,2017-08-14(中国大陆),10.80%,23.30%,43.70%,17.40%,4.80%,8.02,6.6,6.76,6.76,7.26,6.76,7.14,6.2,6.96,6.08,7.24,5.725,7.48,5.1,7.74,4.84
无证之罪,26930540,8.276,42347,悬疑,犯罪,,2017-09-06(中国大陆),37.40%,43.80%,15.20%,2.50%,1.00%,6.4,6.4,,,,,8.04,6.825,8.16,6.166666667,8.34,7.133333333,8.06,7.666666667,7.05,7.05
无间道 第二季,#N/A,6.946,1051,剧情,悬疑,犯罪,2017-03-01(中国大陆),13.20%,32.30%,44.90%,7.80%,1.80%,,,7.4,6.84,,,7.36,5.875,7.82,6.02,7.46,6.35,6.18,6.9,8.72,5.366666667
星光灿烂,24772954,7.888,1066,剧情,,,2017-02-07(中国大陆),34.70%,38.80%,18.20%,2.90%,5.30%,,,,,,,,,,,,,,,,
春风十里，不如你,#N/A,6.332,39478,剧情,爱情,,2017-07-21(中国大陆),14.10%,24.40%,34.80%,17.50%,9.10%,8.3,7.133333333,7.24,5.125,7.86,7.14,7.84,6.475,8.08,5,6.54,5.25,6.2,6.45,,
暗徒,26934342,6.068,628,剧情,悬疑,犯罪,2017-05-31(中国大陆),6.70%,23.30%,40.00%,26.70%,3.30%,,,,,,,,,,,,,,,,
最佳女配：阿尔法之境,#N/A,4.818,966,剧情,喜剧,爱情,2017-06-21(中国大陆),9.10%,13.60%,18.20%,27.30%,31.80%,,,,,,,5.7,5.7,7.6,5.033333333,5.72,5,,,6.96,4.45
杀不死,26772013,8.21,15117,剧情,喜剧,悬疑,2017-06-21(中国大陆),37.50%,41.40%,16.60%,3.20%,1.20%,,,,,,,,,,,,,,,,
林海雪原,26684705,6.186,3715,剧情,,,2017-06-08(中国大陆),15.50%,22.80%,31.90%,15.10%,14.70%,5.82,5.82,5.82,5.82,,,6.28,4.95,8.56,7,9.12,4.2,8.06,6.366666667,7.28,5.5
梦想X计划,#N/A,8.07,1462,剧情,喜剧,运动,2017-03-06(中国大陆),55.20%,16.20%,13.30%,7.60%,7.60%,,,,,,,,,,,,,,,,
楚乔传,26363186,5.02,58375,剧情,爱情,古装,2017-06-05(中国大陆),9.30%,12.10%,26.70%,24.20%,27.60%,8.38,4.625,,,,,7.9,4.6,8.38,5.65,7.7,5.85,7.62,7.15,7.48,5.1
欢乐颂2,26743573,5.304,56762,剧情,爱情,,2017-05-11(中国大陆),4.80%,13.10%,39.40%,27.90%,14.80%,7.48,6.825,6.466666667,6.3,,,8.42,6.9,8.56,3.9,7.62,4.4,8.3,5.15,7.18,5.65
求婚大作战,26743546,3.866,20133,剧情,爱情,,2017-04-24(中国大陆),11.60%,7.80%,6.00%,11.50%,63.10%,6.86,5.675,,,8,6.52,9.06,5.633333333,,,8.64,5.12,7.12,6.02,6.64,6.1
河神,26776350,8.326,69566,剧情,悬疑,,2017-07-19(中国大陆),37.40%,45.50%,14.20%,1.90%,0.90%,6.766666667,6.766666667,,,,,7.78,6.8,,,6.88,6.34,6.1,6.266666667,7.82,6.84
浪花一朵朵,26754618,5.23,5037,剧情,爱情,,2017-07-30(中国大陆),7.70%,14.20%,32.50%,23.00%,22.70%,,,,,,,8.68,5.7,5.56,5.35,,,5.96,5.825,6.18,5.7
深夜食堂,26411410,2.764,98857,剧情,,,2017-06-12(中国大陆),3.00%,2.90%,5.30%,7.00%,81.70%,8.4,6.16,,,,,9.2,5.625,7.74,4.925,8.34,5,8.54,5.96,9,7.066666667
深海利剑,26879740,5.186,2720,剧情,,,2017-07-27(中国大陆),9.90%,15.20%,26.10%,21.90%,26.90%,8.38,6,7.62,5.625,,,,,7.36,5.875,,,,,5.533333333,6.5
漂洋过海来看你,26682195,6.614,8819,剧情,爱情,,2017-04-02(中国大陆),13.30%,27.70%,40.50%,13.40%,5.10%,7.9,5.775,,,,,8.5,6.2,7.74,5.5,7.54,5.3,7.22,6.3,7.48,5.1
热血尖兵,26992031,6.332,784,剧情,,,2017-03-07(中国大陆),20.50%,23.10%,19.20%,26.90%,10.30%,,,,,,,7.34,6.725,7.94,5.9,6.22,5.95,7.22,4.25,6.3,6.3
热血长安,26776531,6.388,6813,悬疑,古装,,2017-02-15(中国大陆),14.30%,24.90%,36.70%,14.10%,10.00%,,,,,,,7.8,6.275,7.96,5.2,,,8.08,6.25,5.34,5.18
爱人·同志,#N/A,4.238,498,剧情,战争,,2017-07-31(中国大陆),6.80%,6.80%,16.90%,30.50%,39.00%,8.44,6.425,,,,,8.26,6.25,7.86,6.2,7.02,5.9,7.12,5.4,7.7,5.1
狐狸的夏天,26811778,6.86,10065,剧情,爱情,,2017-04-05(中国大陆),12.90%,34.40%,39.50%,9.10%,4.20%,7.56,6.275,,,,,8.68,5.7,6.82,6.9,,,7.52,5.94,6.72,6.05
画心师,26873085,6.238,816,悬疑,奇幻,古装,2017-04-24(中国大陆),7.70%,24.40%,46.20%,15.40%,6.40%,7.4,5.6,4.875,4.875,,,6.82,6.075,5.56,5.35,,,6.66,5.733333333,,
白夜追凶,26883064,9.046,144486,剧情,悬疑,犯罪,2017-08-30(中国大陆),62.00%,30.10%,6.60%,0.80%,0.50%,7.52,7.625,,,7.64,7.05,8.66,6.8,7.94,7.2,,,7.6,6.36,,
白鹿原,26322644,8.834,47255,剧情,历史,,2017-04-16(中国大陆),57.20%,31.30%,8.70%,1.60%,1.20%,8.06,7.42,8.4,7.6,,,8.9,7.55,8.6,6.475,9.24,8.125,8.9,7.875,8.98,7.42
盲约,26801053,4.684,3242,剧情,喜剧,爱情,2017-08-15(中国大陆),5.10%,7.00%,31.30%,30.20%,26.40%,7.52,5.9,,,,,8.56,3.9,8.06,6.125,6.22,5.3,6.56,5.58,5.86,5.86
神兽麻将馆,26835004,5.478,636,喜剧,爱情,奇幻,2017-03-22(中国大陆),8.70%,17.40%,30.40%,26.10%,17.40%,,,,,,,6.84,5.025,5.84,5.95,,,6.42,5.566666667,,
神探狄仁杰4,6878443,5.85,1959,剧情,悬疑,古装,2017-03-23(中国大陆),9.90%,16.70%,41.70%,19.30%,12.50%,7,5.766666667,,,,,,,,,,,,,,
秘果,26658517,6.022,1398,剧情,爱情,,2017-04-10(中国大陆),7.60%,22.10%,42.70%,19.10%,8.40%,8,6.3,,,,,,,7.24,5.725,,,,,,
秦时丽人明月心,26924742,4.958,17133,剧情,爱情,古装,2017-08-14(中国大陆),11.90%,11.50%,22.50%,20.90%,33.10%,6.88,5.8,6.58,6.2,,,6.6,5.525,5.88,5.48,6.76,4.375,7.56,4.95,7.7,4.5
繁星四月,26761295,4.88,1763,剧情,爱情,,2017-04-18(中国大陆),9.80%,8.50%,30.10%,19.00%,32.70%,5.875,5.45,6.34,5.98,,,7,3.85,8.32,4.85,,,4.6,3.66,8.86,5.25
约会恋爱究竟是什么,26668669,4.812,1937,喜剧,爱情,,2017-02-21(中国大陆),11.60%,13.60%,18.30%,16.80%,39.70%,5.32,4.72,9.08,6.466666667,5.32,4.72,8.44,4.775,4.66,4.66,9.1,6.033333333,5.7,5.425,8.06,7.36
绝密543,27002013,7.932,1827,剧情,,,2017-07-26(中国大陆),30.50%,46.20%,16.00%,4.00%,3.30%,,,7.26,6.7,,,,,6.325,5.9,8.7,5.85,8.96,5.78,7.62,7.425
继承人,26696085,5.09,3271,剧情,爱情,,2017-04-14(中国大陆),10.70%,14.00%,23.10%,23.60%,28.50%,7.86,6.375,,,,,8.42,4.42,8.56,3.9,8.88,5.92,8.8,5.5,8.16,6.375
美味奇缘,26805211,3.33,2250,剧情,爱情,,2017-09-11(中国大陆),2.50%,1.70%,14.20%,22.90%,58.80%,6.58,5.55,6.7,5.18,,,7.9,4.48,7.74,4.84,8.1,4.35,7.02,4.4,3.15,3.15
职场是个技术活,26108041,5.374,1264,剧情,爱情,,2017-05-11(中国大陆),9.00%,16.10%,32.90%,18.70%,23.20%,6.125,5.833333333,,,,,8.14,5.95,6.98,5.45,8.24,5.4,7.28,5.825,7.44,4.925
花间提壶方大厨,26868416,8.018,22483,喜剧,爱情,古装,2017-04-20(中国大陆),32.20%,43.80%,18.80%,3.20%,1.90%,,,,,,,,,,,,,,,,
被催眠的催眠师,26890345,6.222,848,剧情,悬疑,,2017-04-13(中国大陆),14.80%,20.40%,33.30%,24.10%,7.40%,,,6.04,5.833333333,,,7.5,6.35,7.04,6.6,6.74,5.475,,,6.52,5.38
谁寄锦书来,26989874,6.954,641,爱情,,,2017-03-09(中国大陆),26.10%,26.10%,30.40%,4.30%,13.00%,,,,,,,7.1,7,7.366666667,7.366666667,,,,,,
轩辕剑之汉之云,26608227,4,4009,剧情,奇幻,古装,2017-08-08(中国大陆),5.30%,6.90%,16.00%,26.10%,45.70%,7.84,6,,,,,6.74,4.5,6.66,4.725,9.14,4.1,8.08,6.266666667,7.96,5.2
逆袭之星途璀璨,26807650,4.182,3887,剧情,爱情,,2017-06-09(中国大陆),7.60%,6.40%,17.30%,24.90%,43.80%,7.02,5.3,7.02,5.3,8,4.15,7.58,5.2,7.54,5.4,,,8.88,6.333333333,7.88,5.4
通天狄仁杰,25926750,4.938,2585,剧情,古装,,2017-08-21(中国大陆),7.90%,14.90%,25.00%,20.60%,31.60%,7.2,5.6,8.52,5.7,,,6.04,5.5,8.02,4.5,8.08,5.58,6.46,5.866666667,6.8,6.8
那年花开月正圆,26801052,7.286,49829,剧情,古装,,2017-08-30(中国大陆),24.30%,34.20%,27.90%,8.80%,4.70%,8.18,7.425,6.44,6.325,,,8.76,5.525,7.98,6.375,7.9,5.7,8.38,6.35,8.26,4.666666667
那年那兔那些事 第四季,#N/A,5.448,377,动画,历史,,2017-06-30(中国大陆),17.20%,12.10%,27.60%,12.10%,31.00%,,,,,,,,,,,,,,,,
那片星空那片海,26613421,3.556,2076,爱情,奇幻,,2017-02-06(中国大陆),5.00%,2.50%,13.10%,24.10%,55.30%,7.72,4,,,,,8.1,3.6,6.38,4.7,7.28,4.95,5.74,5.35,7.38,4.975
醉玲珑,26675795,5.886,20583,剧情,爱情,古装,2017-07-13(中国大陆),15.90%,16.20%,31.20%,19.70%,17.00%,7.18,5.52,,,6.7,5.18,,,,,,,,,,
镇魂街,26882293,6.35,5754,动作,奇幻,,2017-08-02(中国大陆),14.00%,30.00%,29.10%,13.30%,13.60%,,,,,,,7.88,4.55,7.26,6.8,6.88,6.466666667,5.9,3.95,,
问题餐厅,26708488,5.808,2471,剧情,爱情,,2017-03-23(中国大陆),10.70%,23.60%,29.40%,18.10%,18.10%,,,,,9.16,7.94,8.08,5.58,,,,,8.76,6.78,7,4.5
阿拉德：宿命之门,#N/A,5.54,1473,动作,动画,冒险,2017-04-28(中国大陆),11.50%,18.00%,26.20%,24.60%,19.70%,,,,,,,,,,,,,,,,
颤抖吧，阿部！,26895367,7.622,12127,喜剧,科幻,古装,2017-08-07(中国大陆),27.60%,37.70%,25.80%,6.00%,2.90%,6.9,4.88,6.7,5.18,,,7.32,6.425,7.26,6.8,,,,,6.05,6.05
鬼吹灯之牧野诡事,26711098,2.906,15517,动作,悬疑,惊悚,2017-07-03(中国大陆),1.80%,2.80%,7.00%,15.70%,72.70%,6.9,4.88,,,,,,,,,,,,,,
鬼吹灯之黄皮子坟,26859982,5.27,23997,剧情,悬疑,,2017-07-21(中国大陆),6.50%,13.50%,33.80%,29.40%,16.80%,8.96,5.4,7.62,5.625,6.72,6.8,8.2,5.85,7.74,5.88,5.62,4.975,,,8.42,6.06
鲜肉老师,26878430,6.506,3647,喜剧,,,2017-03-28(中国大陆),12.80%,29.10%,35.10%,16.60%,6.40%,6.58,5.55,5.42,5.1,,,8.26,5.366666667,8.12,6,6.74,5.2,,,7.92,6
鸡毛飞上天,26685864,8.226,14639,剧情,,,2017-03-03(中国大陆),35.40%,44.10%,17.60%,2.20%,0.70%,7.72,5.9,8.4,7.6,,,8.24,6.775,8.78,6.525,8.62,7.05,8.08,6.266666667,7.9,8.2
黎明决战,26295709,6.316,8869,剧情,悬疑,,2017-03-03(中国大陆),20.10%,15.20%,33.70%,22.30%,8.80%,8.34,5.9,8.14,5.433333333,6.68,6.133333333,8.62,5.55,8.06,6,8.64,6.633333333,8.06,5.3,8.2,5.2
龙珠传奇之无间道,26755568,4.96,9077,剧情,爱情,古装,2017-05-08(中国大陆),12.50%,12.40%,19.60%,21.60%,33.90%,5.94,5.46,6.18,4.88,,,8.3,5.15,7.42,5.6,8.32,5.82,6.92,5.7,8.92,7.075
